Day,Number of animals,Number of grass,AVG Energy,AVG life length,AVG owned children
0,30,2,100,1,0
1,30,4,97,1,0
2,30,6,94,1,0
3,30,8,91,1,0
4,30,10,88,1,0
5,30,12,85,1,0
6,30,14,82,1,0
7,30,16,79,1,0
8,30,18,76,1,0
9,30,20,73,1,0
10,30,22,70,1,0
11,30,24,67,1,0
12,30,26,64,1,0
13,30,28,61,1,0
14,30,30,58,1,0
15,30,31,58,1,0
16,30,33,55,1,0
17,30,35,52,1,0
18,30,37,49,1,0
19,30,39,46,1,0
20,30,41,43,1,0
21,30,43,40,1,0
22,30,45,37,1,0
23,30,47,34,1,0
24,30,49,31,1,0
25,30,51,28,1,0
26,30,53,25,1,0
27,30,55,22,1,0
28,30,57,19,1,0
29,30,59,16,1,0
30,30,61,13,1,0
31,30,63,10,1,0
32,30,65,7,1,0
33,30,67,4,1,0
34,1,69,98,35,0
35,1,71,95,35,0
36,1,73,92,35,0
37,1,75,89,35,0
38,1,77,86,35,0
39,1,79,83,35,0
40,1,81,80,35,0
41,1,83,77,35,0
42,1,85,74,35,0
43,1,87,71,35,0
44,1,89,68,35,0
45,1,91,65,35,0
46,1,93,62,35,0
47,1,95,59,35,0
48,1,97,56,35,0
49,1,99,53,35,0
50,1,101,50,35,0
51,1,103,47,35,0
52,1,105,44,35,0
53,1,107,41,35,0
54,1,109,38,35,0
55,1,111,35,35,0
56,1,113,32,35,0
57,1,115,29,35,0
58,1,117,26,35,0
59,1,119,23,35,0
60,1,121,20,35,0
61,1,123,17,35,0
62,1,125,14,35,0
63,1,127,11,35,0
64,1,129,8,35,0
65,1,131,5,35,0
66,1,133,2,35,0
End: ,15,68,51,18,0
